,Data Set,epochs,batch_size,padding,kernel-size,filters,first_activation,dropout,output_activation,accuracy,F1-Score
29,Y_10_4_first_abs_(5),100,20,same,4,64,relu,0.1,softmax,24.519774317741394,0.2209342994443318
30,Y_10_4_first_abs_(5),200,10,same,4,64,relu,0.1,softmax,26.214689016342163,0.24382541529415755
31,Y_10_4_first_abs_(5),200,20,same,4,64,relu,0.1,softmax,24.406780302524567,0.22516636823960368
32,Y_10_4_first_abs_(6),100,10,same,4,64,relu,0.1,softmax,20.451977849006653,0.18633655753258757
33,Y_10_4_first_abs_(6),100,20,same,4,64,relu,0.1,softmax,21.35593146085739,0.18810870173939523
34,Y_10_4_first_abs_(6),200,10,same,4,64,relu,0.1,softmax,22.146892547607422,0.21066975866992552
35,Y_10_4_first_abs_(6),200,20,same,4,64,relu,0.1,softmax,21.01694941520691,0.19568259331758076
36,Y_10_4_first_rel_(3),100,10,same,4,64,relu,0.1,softmax,38.19209039211273,0.3638476726638791
37,Y_10_4_first_rel_(3),100,20,same,4,64,relu,0.1,softmax,37.17513978481293,0.3516091564762394
38,Y_10_4_first_rel_(3),200,10,same,4,64,relu,0.1,softmax,36.836159229278564,0.3526075565958349
39,Y_10_4_first_rel_(3),200,20,same,4,64,relu,0.1,softmax,36.72316372394562,0.3550873432198762
40,Y_10_4_first_rel_(5),100,10,same,4,64,relu,0.1,softmax,27.909603714942932,0.2402668051535139
41,Y_10_4_first_rel_(5),100,20,same,4,64,relu,0.1,softmax,26.77966058254242,0.23357601107169118
42,Y_10_4_first_rel_(5),200,10,same,4,64,relu,0.1,softmax,27.231639623641968,0.2362337499137655
43,Y_10_4_first_rel_(5),200,20,same,4,64,relu,0.1,softmax,26.553672552108765,0.23175332115352512
44,Y_10_4_first_rel_(6),100,10,same,4,64,relu,0.1,softmax,19.32203322649002,0.1716151105065258
45,Y_10_4_first_rel_(6),100,20,same,4,64,relu,0.1,softmax,18.757061660289764,0.1542890558882482
46,Y_10_4_first_rel_(6),200,10,same,4,64,relu,0.1,softmax,20.11299431324005,0.18204905681927672
47,Y_10_4_first_rel_(6),200,20,same,4,64,relu,0.1,softmax,18.757061660289764,0.17281460571253066
48,Y_10_4_prior_abs_(3),100,10,same,4,64,relu,0.1,softmax,42.937853932380676,0.3973913363207576
49,Y_10_4_prior_abs_(3),100,20,same,4,64,relu,0.1,softmax,39.20904099941254,0.3603594908634878
50,Y_10_4_prior_abs_(3),200,10,same,4,64,relu,0.1,softmax,39.661017060279846,0.37406826905141644
51,Y_10_4_prior_abs_(3),200,20,same,4,64,relu,0.1,softmax,39.77401256561279,0.3709160514006183
52,Y_10_4_prior_abs_(5),100,10,same,4,64,relu,0.1,softmax,23.84180724620819,0.22934331674386155
53,Y_10_4_prior_abs_(5),100,20,same,4,64,relu,0.1,softmax,23.615819215774536,0.21730227287433782
54,Y_10_4_prior_abs_(5),200,10,same,4,64,relu,0.1,softmax,24.858756363391876,0.24209754193714808
55,Y_10_4_prior_abs_(5),200,20,same,4,64,relu,0.1,softmax,23.954802751541138,0.2284001791210813
56,Y_10_4_prior_abs_(6),100,10,same,4,64,relu,0.1,softmax,22.146892547607422,0.2069810544282579
57,Y_10_4_prior_abs_(6),100,20,same,4,64,relu,0.1,softmax,22.033898532390594,0.20338753267202467
58,Y_10_4_prior_abs_(6),200,10,same,4,64,relu,0.1,softmax,22.711864113807678,0.21586254646597122
59,Y_10_4_prior_abs_(6),200,20,same,4,64,relu,0.1,softmax,22.372882068157196,0.2128312381297869
60,Y_10_4_prior_rel_(3),100,10,same,4,64,relu,0.1,softmax,37.627118825912476,0.36762323394245516
61,Y_10_4_prior_rel_(3),100,20,same,4,64,relu,0.1,softmax,38.64406645298004,0.36783497341042687
62,Y_10_4_prior_rel_(3),200,10,same,4,64,relu,0.1,softmax,36.384180188179016,0.3643347813228974
63,Y_10_4_prior_rel_(3),200,20,same,4,64,relu,0.1,softmax,38.19209039211273,0.3742417005587965
64,Y_10_4_prior_rel_(5),100,10,same,4,64,relu,0.1,softmax,28.926554322242737,0.25618466958735264
65,Y_10_4_prior_rel_(5),100,20,same,4,64,relu,0.1,softmax,26.214689016342163,0.2283637233125336
66,Y_10_4_prior_rel_(5),200,10,same,4,64,relu,0.1,softmax,27.57062017917633,0.24174676483796484
67,Y_10_4_prior_rel_(5),200,20,same,4,64,relu,0.1,softmax,27.231639623641968,0.2451645457193363
68,Y_10_4_prior_rel_(6),100,10,same,4,64,relu,0.1,softmax,21.694914996623993,0.19088448151477933
69,Y_10_4_prior_rel_(6),100,20,same,4,64,relu,0.1,softmax,21.920904517173767,0.19532181802569076
70,Y_10_4_prior_rel_(6),200,10,same,4,64,relu,0.1,softmax,19.661016762256622,0.18344611275317804
71,Y_10_4_prior_rel_(6),200,20,same,4,64,relu,0.1,softmax,19.661016762256622,0.17502538296911813
72,Y_10_5_abs_abs_(3),100,10,same,4,64,relu,0.1,softmax,47.48784303665161,0.32409978341442097
73,Y_10_5_abs_abs_(3),100,20,same,4,64,relu,0.1,softmax,47.81199395656586,0.3288279805383666
74,Y_10_5_abs_abs_(3),200,10,same,4,64,relu,0.1,softmax,46.02917432785034,0.32099123485007947
75,Y_10_5_abs_abs_(3),200,20,same,4,64,relu,0.1,softmax,46.51539623737335,0.34700553554462954
76,Y_10_5_abs_abs_(5),100,10,same,4,64,relu,0.1,softmax,28.687196969985962,0.17381590060942936
77,Y_10_5_abs_abs_(5),100,20,same,4,64,relu,0.1,softmax,29.335492849349976,0.17478786780077765
78,Y_10_5_abs_abs_(5),200,10,same,4,64,relu,0.1,softmax,28.200972080230713,0.15752646210714547
79,Y_10_5_abs_abs_(5),200,20,same,4,64,relu,0.1,softmax,29.173418879508972,0.1972038317765621
80,Y_10_5_abs_abs_(6),100,10,same,4,64,relu,0.1,softmax,22.042138874530792,0.16939319702843753
81,Y_10_5_abs_abs_(6),100,20,same,4,64,relu,0.1,softmax,24.47325736284256,0.1353465395726055
82,Y_10_5_abs_abs_(6),200,10,same,4,64,relu,0.1,softmax,20.745542645454407,0.14709108289137138
83,Y_10_5_abs_abs_(6),200,20,same,4,64,relu,0.1,softmax,24.149107933044434,0.16184273608283278
84,Y_10_5_abs_rel_(3),100,10,same,4,64,relu,0.1,softmax,41.0048633813858,0.2615081117010441
85,Y_10_5_abs_rel_(3),100,20,same,4,64,relu,0.1,softmax,41.65315926074982,0.25674488189102895
86,Y_10_5_abs_rel_(3),200,10,same,4,64,relu,0.1,softmax,39.22204077243805,0.2821450611587175
87,Y_10_5_abs_rel_(3),200,20,same,4,64,relu,0.1,softmax,38.89789283275604,0.29079768292426555
88,Y_10_5_abs_rel_(5),100,10,same,4,64,relu,0.1,softmax,32.901135087013245,0.17413892929585018
89,Y_10_5_abs_rel_(5),100,20,same,4,64,relu,0.1,softmax,32.901135087013245,0.19131353268732149
90,Y_10_5_abs_rel_(5),200,10,same,4,64,relu,0.1,softmax,31.928688287734985,0.19343418237680418
91,Y_10_5_abs_rel_(5),200,20,same,4,64,relu,0.1,softmax,31.11831545829773,0.2392168634781928
92,Y_10_5_abs_rel_(6),100,10,same,4,64,relu,0.1,softmax,24.149107933044434,0.12530777093793274
93,Y_10_5_abs_rel_(6),100,20,same,4,64,relu,0.1,softmax,22.52836376428604,0.161146096950104
94,Y_10_5_abs_rel_(6),200,10,same,4,64,relu,0.1,softmax,23.98703396320343,0.14706644065283933
95,Y_10_5_abs_rel_(6),200,20,same,4,64,relu,0.1,softmax,22.042138874530792,0.15787002099862243
96,Y_10_5_first_abs_(3),100,10,same,4,64,relu,0.1,softmax,40.68071246147156,0.3706665673686531
97,Y_10_5_first_abs_(3),100,20,same,4,64,relu,0.1,softmax,40.68071246147156,0.3710031162254317
98,Y_10_5_first_abs_(3),200,10,same,4,64,relu,0.1,softmax,41.16693735122681,0.36623779414692476
99,Y_10_5_first_abs_(3),200,20,same,4,64,relu,0.1,softmax,40.68071246147156,0.3744953457678535
100,Y_10_5_first_abs_(5),100,10,same,4,64,relu,0.1,softmax,24.635332822799683,0.22519682051553602
101,Y_10_5_first_abs_(5),100,20,same,4,64,relu,0.1,softmax,23.662884533405304,0.21299432198393387
102,Y_10_5_first_abs_(5),200,10,same,4,64,relu,0.1,softmax,25.93192756175995,0.2469008898516314
103,Y_10_5_first_abs_(5),200,20,same,4,64,relu,0.1,softmax,27.55267322063446,0.2588524146040113
104,Y_10_5_first_abs_(6),100,10,same,4,64,relu,0.1,softmax,21.555915474891663,0.19997735886862283
105,Y_10_5_first_abs_(6),100,20,same,4,64,relu,0.1,softmax,22.36628830432892,0.20032422424760982
106,Y_10_5_first_abs_(6),200,10,same,4,64,relu,0.1,softmax,20.90761810541153,0.1965303541469352
107,Y_10_5_first_abs_(6),200,20,same,4,64,relu,0.1,softmax,21.069692075252533,0.1932324059670507
108,Y_10_5_first_rel_(3),100,10,same,4,64,relu,0.1,softmax,36.30470037460327,0.34421152169289393
109,Y_10_5_first_rel_(3),100,20,same,4,64,relu,0.1,softmax,38.08752000331879,0.3512064079315871
110,Y_10_5_first_rel_(3),200,10,same,4,64,relu,0.1,softmax,34.68395471572876,0.3406008367315921
111,Y_10_5_first_rel_(3),200,20,same,4,64,relu,0.1,softmax,37.439221143722534,0.35796524856637046
112,Y_10_5_first_rel_(5),100,10,same,4,64,relu,0.1,softmax,26.742300391197205,0.24173560525160878
113,Y_10_5_first_rel_(5),100,20,same,4,64,relu,0.1,softmax,24.95948076248169,0.2208744456685726
114,Y_10_5_first_rel_(5),200,10,same,4,64,relu,0.1,softmax,26.256078481674194,0.24362427364974493
115,Y_10_5_first_rel_(5),200,20,same,4,64,relu,0.1,softmax,26.09400451183319,0.2403488547988263
116,Y_10_5_first_rel_(6),100,10,same,4,64,relu,0.1,softmax,21.39384150505066,0.1965384062165301
117,Y_10_5_first_rel_(6),100,20,same,4,64,relu,0.1,softmax,20.90761810541153,0.18571564085158496
118,Y_10_5_first_rel_(6),200,10,same,4,64,relu,0.1,softmax,21.717990934848785,0.20071354386262058
119,Y_10_5_first_rel_(6),200,20,same,4,64,relu,0.1,softmax,18.152350187301636,0.17233389009513977
120,Y_10_5_prior_abs_(3),100,10,same,4,64,relu,0.1,softmax,38.573744893074036,0.35235112398807705
121,Y_10_5_prior_abs_(3),100,20,same,4,64,relu,0.1,softmax,38.73581886291504,0.36872999050365607
122,Y_10_5_prior_abs_(3),200,10,same,4,64,relu,0.1,softmax,35.81847548484802,0.3481684801994888
123,Y_10_5_prior_abs_(3),200,20,same,4,64,relu,0.1,softmax,40.68071246147156,0.3884246355699467
124,Y_10_5_prior_abs_(5),100,10,same,4,64,relu,0.1,softmax,27.228525280952454,0.24877281273897986
125,Y_10_5_prior_abs_(5),100,20,same,4,64,relu,0.1,softmax,23.98703396320343,0.22239885187321906
126,Y_10_5_prior_abs_(5),200,10,same,4,64,relu,0.1,softmax,23.5008105635643,0.2241749216517274
127,Y_10_5_prior_abs_(5),200,20,same,4,64,relu,0.1,softmax,21.39384150505066,0.20049113155397963
128,Y_10_5_prior_abs_(6),100,10,same,4,64,relu,0.1,softmax,19.286872446537018,0.1771773083264859
129,Y_10_5_prior_abs_(6),100,20,same,4,64,relu,0.1,softmax,20.097245275974274,0.18748482138776817
130,Y_10_5_prior_abs_(6),200,10,same,4,64,relu,0.1,softmax,20.097245275974274,0.18983881210744788
131,Y_10_5_prior_abs_(6),200,20,same,4,64,relu,0.1,softmax,22.204214334487915,0.20835051181679526
132,Y_10_5_prior_rel_(3),100,10,same,4,64,relu,0.1,softmax,36.62884831428528,0.3624234131693976
133,Y_10_5_prior_rel_(3),100,20,same,4,64,relu,0.1,softmax,35.81847548484802,0.3367514596452143
134,Y_10_5_prior_rel_(3),200,10,same,4,64,relu,0.1,softmax,35.00810265541077,0.34814702466255776
135,Y_10_5_prior_rel_(3),200,20,same,4,64,relu,0.1,softmax,33.873581886291504,0.3329869323981641
136,Y_10_5_prior_rel_(5),100,10,same,4,64,relu,0.1,softmax,23.662884533405304,0.21438532953484798
137,Y_10_5_prior_rel_(5),100,20,same,4,64,relu,0.1,softmax,25.44570565223694,0.23369434403358194
138,Y_10_5_prior_rel_(5),200,10,same,4,64,relu,0.1,softmax,22.690437734127045,0.21230186797402453
139,Y_10_5_prior_rel_(5),200,20,same,4,64,relu,0.1,softmax,23.824959993362427,0.2158401717342956
140,Y_10_5_prior_rel_(6),100,10,same,4,64,relu,0.1,softmax,18.96272301673889,0.17603034339726695
141,Y_10_5_prior_rel_(6),100,20,same,4,64,relu,0.1,softmax,18.96272301673889,0.17365827218190724
142,Y_10_5_prior_rel_(6),200,10,same,4,64,relu,0.1,softmax,19.773095846176147,0.1887604723791363
143,Y_10_5_prior_rel_(6),200,20,same,4,64,relu,0.1,softmax,18.31442415714264,0.17263549310467705
144,Y_10_6_abs_abs_(3),100,10,same,4,64,relu,0.1,softmax,40.731069445610046,0.35541483874022334
145,Y_10_6_abs_abs_(3),100,20,same,4,64,relu,0.1,softmax,45.43080925941467,0.30736631847681234
146,Y_10_6_abs_abs_(3),200,10,same,4,64,relu,0.1,softmax,44.386422634124756,0.31570145210226
147,Y_10_6_abs_abs_(3),200,20,same,4,64,relu,0.1,softmax,44.647520780563354,0.3375824043540216
148,Y_10_6_abs_abs_(5),100,10,same,4,64,relu,0.1,softmax,28.45953106880188,0.1524112530329419
149,Y_10_6_abs_abs_(5),100,20,same,4,64,relu,0.1,softmax,26.631852984428406,0.1739707053295472
150,Y_10_6_abs_abs_(5),200,10,same,4,64,relu,0.1,softmax,25.32637119293213,0.16020598865056954
151,Y_10_6_abs_abs_(5),200,20,same,4,64,relu,0.1,softmax,26.109659671783447,0.2071131421150567
152,Y_10_6_abs_abs_(6),100,10,same,4,64,relu,0.1,softmax,22.193211317062378,0.15026754059250733
153,Y_10_6_abs_abs_(6),100,20,same,4,64,relu,0.1,softmax,23.237597942352295,0.16461193093615126
154,Y_10_6_abs_abs_(6),200,10,same,4,64,relu,0.1,softmax,18.01566630601883,0.16900458562786333
155,Y_10_6_abs_abs_(6),200,20,same,4,64,relu,0.1,softmax,24.54308122396469,0.1889200929666636
156,Y_10_6_abs_rel_(3),100,10,same,4,64,relu,0.1,softmax,41.77545607089996,0.28344181846085925
157,Y_10_6_abs_rel_(3),100,20,same,4,64,relu,0.1,softmax,41.5143609046936,0.3588410545342388
158,Y_10_6_abs_rel_(3),200,10,same,4,64,relu,0.1,softmax,39.94778096675873,0.3436728713484172
159,Y_10_6_abs_rel_(3),200,20,same,4,64,relu,0.1,softmax,43.60313415527344,0.37864480360634784
160,Y_10_6_abs_rel_(5),100,10,same,4,64,relu,0.1,softmax,32.11488127708435,0.20084038682594244
161,Y_10_6_abs_rel_(5),100,20,same,4,64,relu,0.1,softmax,32.11488127708435,0.2091600739266991
162,Y_10_6_abs_rel_(5),200,10,same,4,64,relu,0.1,softmax,28.19843292236328,0.2092333604825495
163,Y_10_6_abs_rel_(5),200,20,same,4,64,relu,0.1,softmax,26.370757818222046,0.21704823656872055
164,Y_10_6_abs_rel_(6),100,10,same,4,64,relu,0.1,softmax,25.32637119293213,0.12690625704476702
165,Y_10_6_abs_rel_(6),100,20,same,4,64,relu,0.1,softmax,24.80417788028717,0.14703856679334076
166,Y_10_6_abs_rel_(6),200,10,same,4,64,relu,0.1,softmax,23.759791254997253,0.14374646517256895
167,Y_10_6_abs_rel_(6),200,20,same,4,64,relu,0.1,softmax,23.759791254997253,0.15719999276444613
168,Y_10_6_first_abs_(3),100,10,same,4,64,relu,0.1,softmax,39.42558765411377,0.3779881988783415
169,Y_10_6_first_abs_(3),100,20,same,4,64,relu,0.1,softmax,38.38120102882385,0.3669058127776486
170,Y_10_6_first_abs_(3),200,10,same,4,64,relu,0.1,softmax,38.64229619503021,0.37709221176360475
171,Y_10_6_first_abs_(3),200,20,same,4,64,relu,0.1,softmax,40.731069445610046,0.39196067857600847
172,Y_10_6_first_abs_(5),100,10,same,4,64,relu,0.1,softmax,22.193211317062378,0.21030617935372417
173,Y_10_6_first_abs_(5),100,20,same,4,64,relu,0.1,softmax,23.237597942352295,0.22160772110580057
174,Y_10_6_first_abs_(5),200,10,same,4,64,relu,0.1,softmax,19.843341410160065,0.19127710180353835
175,Y_10_6_first_abs_(5),200,20,same,4,64,relu,0.1,softmax,19.060052931308746,0.185711567763885
176,Y_10_6_first_abs_(6),100,10,same,4,64,relu,0.1,softmax,20.626631379127502,0.1890430754573841
177,Y_10_6_first_abs_(6),100,20,same,4,64,relu,0.1,softmax,19.582244753837585,0.181916848201096
178,Y_10_6_first_abs_(6),200,10,same,4,64,relu,0.1,softmax,19.321148097515106,0.1807306007977674
179,Y_10_6_first_abs_(6),200,20,same,4,64,relu,0.1,softmax,22.193211317062378,0.2092574491449619
180,Y_10_6_first_rel_(3),100,10,same,4,64,relu,0.1,softmax,40.46997427940369,0.39240690990741495
181,Y_10_6_first_rel_(3),100,20,same,4,64,relu,0.1,softmax,42.55874752998352,0.41008505708244614
182,Y_10_6_first_rel_(3),200,10,same,4,64,relu,0.1,softmax,42.29764938354492,0.4145140664362735
183,Y_10_6_first_rel_(3),200,20,same,4,64,relu,0.1,softmax,41.253262758255005,0.40165767175408285
184,Y_10_6_first_rel_(5),100,10,same,4,64,relu,0.1,softmax,25.58746635913849,0.2313023033552885
185,Y_10_6_first_rel_(5),100,20,same,4,64,relu,0.1,softmax,27.415144443511963,0.2437734985560608
186,Y_10_6_first_rel_(5),200,10,same,4,64,relu,0.1,softmax,25.848564505577087,0.24966255382894023
187,Y_10_6_first_rel_(5),200,20,same,4,64,relu,0.1,softmax,25.848564505577087,0.24648673497010423
188,Y_10_6_first_rel_(6),100,10,same,4,64,relu,0.1,softmax,17.75456964969635,0.15800019718770664
189,Y_10_6_first_rel_(6),100,20,same,4,64,relu,0.1,softmax,19.843341410160065,0.18146118459434388
190,Y_10_6_first_rel_(6),200,10,same,4,64,relu,0.1,softmax,17.75456964969635,0.16426034891576638
191,Y_10_6_first_rel_(6),200,20,same,4,64,relu,0.1,softmax,19.060052931308746,0.17900976586041578
192,Y_10_6_prior_abs_(3),100,10,same,4,64,relu,0.1,softmax,39.94778096675873,0.38533451687948744
193,Y_10_6_prior_abs_(3),100,20,same,4,64,relu,0.1,softmax,39.16448950767517,0.37647526669880177
194,Y_10_6_prior_abs_(3),200,10,same,4,64,relu,0.1,softmax,39.42558765411377,0.3817280962904717
195,Y_10_6_prior_abs_(3),200,20,same,4,64,relu,0.1,softmax,37.075719237327576,0.3648164482789058
196,Y_10_6_prior_abs_(5),100,10,same,4,64,relu,0.1,softmax,21.14882469177246,0.20021034189268538
197,Y_10_6_prior_abs_(5),100,20,same,4,64,relu,0.1,softmax,19.843341410160065,0.19406369595352554
198,Y_10_6_prior_abs_(5),200,10,same,4,64,relu,0.1,softmax,22.715404629707336,0.2219362826419754
199,Y_10_6_prior_abs_(5),200,20,same,4,64,relu,0.1,softmax,23.498694598674774,0.2267042384276331
200,Y_10_6_prior_abs_(6),100,10,same,4,64,relu,0.1,softmax,21.14882469177246,0.20395249997077672
201,Y_10_6_prior_abs_(6),100,20,same,4,64,relu,0.1,softmax,21.67101800441742,0.2073931020082485
202,Y_10_6_prior_abs_(6),200,10,same,4,64,relu,0.1,softmax,19.843341410160065,0.19440342627937657
203,Y_10_6_prior_abs_(6),200,20,same,4,64,relu,0.1,softmax,20.88772803544998,0.20273131884072826
204,Y_10_6_prior_rel_(3),100,10,same,4,64,relu,0.1,softmax,41.5143609046936,0.4010415600446251
205,Y_10_6_prior_rel_(3),100,20,same,4,64,relu,0.1,softmax,38.64229619503021,0.3810700208153783
206,Y_10_6_prior_rel_(3),200,10,same,4,64,relu,0.1,softmax,39.16448950767517,0.38459227158384185
207,Y_10_6_prior_rel_(3),200,20,same,4,64,relu,0.1,softmax,41.77545607089996,0.41138492533213966
208,Y_10_6_prior_rel_(5),100,10,same,4,64,relu,0.1,softmax,21.9321146607399,0.210011885786859
209,Y_10_6_prior_rel_(5),100,20,same,4,64,relu,0.1,softmax,25.58746635913849,0.23916245863081464
210,Y_10_6_prior_rel_(5),200,10,same,4,64,relu,0.1,softmax,28.98172438144684,0.2860966793269979
211,Y_10_6_prior_rel_(5),200,20,same,4,64,relu,0.1,softmax,25.848564505577087,0.2516562043932934
212,Y_10_6_prior_rel_(6),100,10,same,4,64,relu,0.1,softmax,19.321148097515106,0.17567605584016407
213,Y_10_6_prior_rel_(6),100,20,same,4,64,relu,0.1,softmax,16.971279680728912,0.15032768855245673
214,Y_10_6_prior_rel_(6),200,10,same,4,64,relu,0.1,softmax,20.88772803544998,0.19247332652842597
215,Y_10_6_prior_rel_(6),200,20,same,4,64,relu,0.1,softmax,19.843341410160065,0.18613953268996405
216,Y_5_4_abs_abs_(3),100,10,same,4,64,relu,0.1,softmax,45.89235186576843,0.3108569448780708
217,Y_5_4_abs_abs_(3),100,20,same,4,64,relu,0.1,softmax,45.89235186576843,0.31931255273963505
218,Y_5_4_abs_abs_(3),200,10,same,4,64,relu,0.1,softmax,45.986780524253845,0.3111712669984415
219,Y_5_4_abs_abs_(3),200,20,same,4,64,relu,0.1,softmax,46.17563784122467,0.3057655812393191
220,Y_5_4_abs_abs_(5),100,10,same,4,64,relu,0.1,softmax,28.423041105270386,0.14894416853539721
221,Y_5_4_abs_abs_(5),100,20,same,4,64,relu,0.1,softmax,28.045326471328735,0.16873212886949573
222,Y_5_4_abs_abs_(5),200,10,same,4,64,relu,0.1,softmax,28.98961305618286,0.177957541355877
223,Y_5_4_abs_abs_(5),200,20,same,4,64,relu,0.1,softmax,27.10103988647461,0.1556546400191776
224,Y_5_4_abs_abs_(6),100,10,same,4,64,relu,0.1,softmax,24.55146312713623,0.1236538004107474
225,Y_5_4_abs_abs_(6),100,20,same,4,64,relu,0.1,softmax,24.92917776107788,0.12500240637644633
226,Y_5_4_abs_abs_(6),200,10,same,4,64,relu,0.1,softmax,25.21246373653412,0.1315765490253428
227,Y_5_4_abs_abs_(6),200,20,same,4,64,relu,0.1,softmax,24.55146312713623,0.13495736161495608
228,Y_5_4_abs_rel_(3),100,10,same,4,64,relu,0.1,softmax,41.64305925369263,0.2557253163449709
229,Y_5_4_abs_rel_(3),100,20,same,4,64,relu,0.1,softmax,41.64305925369263,0.27503895877979456
230,Y_5_4_abs_rel_(3),200,10,same,4,64,relu,0.1,softmax,42.02077388763428,0.2706194268111612
231,Y_5_4_abs_rel_(3),200,20,same,4,64,relu,0.1,softmax,41.73748791217804,0.28633553061669204
232,Y_5_4_abs_rel_(5),100,10,same,4,64,relu,0.1,softmax,31.633615493774414,0.18003198658251163
233,Y_5_4_abs_rel_(5),100,20,same,4,64,relu,0.1,softmax,32.011330127716064,0.18493984304977049
234,Y_5_4_abs_rel_(5),200,10,same,4,64,relu,0.1,softmax,31.350329518318176,0.23113923389040858
235,Y_5_4_abs_rel_(5),200,20,same,4,64,relu,0.1,softmax,31.350329518318176,0.1804977963371234
236,Y_5_4_abs_rel_(6),100,10,same,4,64,relu,0.1,softmax,25.779035687446594,0.1279481153353422
237,Y_5_4_abs_rel_(6),100,20,same,4,64,relu,0.1,softmax,25.401321053504944,0.1314782391580109
238,Y_5_4_abs_rel_(6),200,10,same,4,64,relu,0.1,softmax,25.023606419563293,0.12462643426775163
239,Y_5_4_abs_rel_(6),200,20,same,4,64,relu,0.1,softmax,24.92917776107788,0.16086705823487998
240,Y_5_4_first_abs_(3),100,10,same,4,64,relu,0.1,softmax,38.715770840644836,0.36027620429276924
241,Y_5_4_first_abs_(3),100,20,same,4,64,relu,0.1,softmax,40.98205864429474,0.34578478250640754
242,Y_5_4_first_abs_(3),200,10,same,4,64,relu,0.1,softmax,40.60434401035309,0.3811190087080486
243,Y_5_4_first_abs_(3),200,20,same,4,64,relu,0.1,softmax,39.09348547458649,0.35561996576624244
244,Y_5_4_first_abs_(5),100,10,same,4,64,relu,0.1,softmax,23.41831922531128,0.21654193752542525
245,Y_5_4_first_abs_(5),100,20,same,4,64,relu,0.1,softmax,24.83474910259247,0.22214517670712525
246,Y_5_4_first_abs_(5),200,10,same,4,64,relu,0.1,softmax,21.813030540943146,0.20410660650333257
247,Y_5_4_first_abs_(5),200,20,same,4,64,relu,0.1,softmax,23.229461908340454,0.21532143367000067
248,Y_5_4_first_abs_(6),100,10,same,4,64,relu,0.1,softmax,22.568461298942566,0.2060256575350854
